,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds),pulsetime/2 in seconds,Distance Estimate in cm,Actual In cm
959,1.76E+15,26899676,631,0.0003155,11.4737885,10
960,1.76E+15,26923444,631,0.0003155,11.4737885,10
961,1.76E+15,26947212,631,0.0003155,11.4737885,10
962,1.76E+15,26970980,637,0.0003185,11.5828895,10
963,1.76E+15,26994752,634,0.000317,11.528339,10
964,1.76E+15,27018516,631,0.0003155,11.4737885,10
965,1.76E+15,27042284,631,0.0003155,11.4737885,10
966,1.76E+15,27066052,637,0.0003185,11.5828895,10
967,1.76E+15,27089820,637,0.0003185,11.5828895,10
968,1.76E+15,27113588,631,0.0003155,11.4737885,10
969,1.76E+15,27137352,632,0.000316,11.491972,10
970,1.76E+15,27161120,631,0.0003155,11.4737885,10
971,1.76E+15,27184884,637,0.0003185,11.5828895,10
972,1.76E+15,27208652,638,0.000319,11.601073,10
973,1.76E+15,27232416,631,0.0003155,11.4737885,10
974,1.76E+15,27256172,631,0.0003155,11.4737885,10
975,1.76E+15,27279936,631,0.0003155,11.4737885,10
976,1.76E+15,27303704,637,0.0003185,11.5828895,10
977,1.76E+15,27327472,637,0.0003185,11.5828895,10
978,1.76E+15,27351240,631,0.0003155,11.4737885,10
979,1.76E+15,27374980,611,0.0003055,11.1101185,10
980,1.76E+15,27398728,611,0.0003055,11.1101185,10
981,1.76E+15,27422496,637,0.0003185,11.5828895,10
982,1.76E+15,27446268,637,0.0003185,11.5828895,10
983,1.76E+15,27470036,631,0.0003155,11.4737885,10
984,1.76E+15,27493804,631,0.0003155,11.4737885,10
985,1.76E+15,27517572,631,0.0003155,11.4737885,10
986,1.76E+15,27541344,637,0.0003185,11.5828895,10
987,1.76E+15,27565116,637,0.0003185,11.5828895,10
988,1.76E+15,27588880,631,0.0003155,11.4737885,10
989,1.76E+15,27612644,631,0.0003155,11.4737885,10
990,1.76E+15,27636408,632,0.000316,11.491972,10
991,1.76E+15,27660176,637,0.0003185,11.5828895,10
992,1.76E+15,27683944,631,0.0003155,11.4737885,10
993,1.76E+15,27707708,631,0.0003155,11.4737885,10
994,1.76E+15,27731476,631,0.0003155,11.4737885,10
995,1.76E+15,27755240,637,0.0003185,11.5828895,10
996,1.76E+15,27779008,637,0.0003185,11.5828895,10
997,1.76E+15,27802776,631,0.0003155,11.4737885,10
998,1.76E+15,27826540,631,0.0003155,11.4737885,10
999,1.76E+15,27850304,631,0.0003155,11.4737885,10
1000,1.76E+15,27874072,637,0.0003185,11.5828895,10
1001,1.76E+15,27897840,637,0.0003185,11.5828895,10
1002,1.76E+15,27921604,631,0.0003155,11.4737885,10
1003,1.76E+15,27945364,631,0.0003155,11.4737885,10
1004,1.76E+15,27969132,631,0.0003155,11.4737885,10
1005,1.76E+15,27992904,637,0.0003185,11.5828895,10
1006,1.76E+15,28016680,637,0.0003185,11.5828895,10
1007,1.76E+15,28040436,631,0.0003155,11.4737885,10
1008,1.76E+15,28064200,631,0.0003155,11.4737885,10
1009,1.76E+15,28087968,631,0.0003155,11.4737885,10
1010,1.76E+15,28111744,637,0.0003185,11.5828895,10
1011,1.76E+15,28135512,631,0.0003155,11.4737885,10
1012,1.76E+15,28159276,631,0.0003155,11.4737885,10
1013,1.76E+15,28183044,631,0.0003155,11.4737885,10
1014,1.76E+15,28206808,637,0.0003185,11.5828895,10
1015,1.76E+15,28230576,637,0.0003185,11.5828895,10
1016,1.76E+15,28254344,631,0.0003155,11.4737885,10
1017,1.76E+15,28278108,631,0.0003155,11.4737885,10
1018,1.76E+15,28301872,631,0.0003155,11.4737885,10
1019,1.76E+15,28325640,637,0.0003185,11.5828895,10
1020,1.76E+15,28349408,637,0.0003185,11.5828895,10
1021,1.76E+15,28373176,631,0.0003155,11.4737885,10
1022,1.76E+15,28396936,631,0.0003155,11.4737885,10
1023,1.76E+15,28420704,631,0.0003155,11.4737885,10
1024,1.76E+15,28444476,637,0.0003185,11.5828895,10
1025,1.76E+15,28468244,637,0.0003185,11.5828895,10
1026,1.76E+15,28492008,631,0.0003155,11.4737885,10
1027,1.76E+15,28515772,631,0.0003155,11.4737885,10
1028,1.76E+15,28539540,631,0.0003155,11.4737885,10
1029,1.76E+15,28563316,637,0.0003185,11.5828895,10
1030,1.76E+15,28587084,630,0.000315,11.455605,10
1031,1.76E+15,28610848,631,0.0003155,11.4737885,10
1032,1.76E+15,28634612,631,0.0003155,11.4737885,10
1033,1.76E+15,28658380,637,0.0003185,11.5828895,10
1034,1.76E+15,28682148,637,0.0003185,11.5828895,10
1035,1.76E+15,28705916,631,0.0003155,11.4737885,10
1036,1.76E+15,28729680,631,0.0003155,11.4737885,10
1037,1.76E+15,28753448,631,0.0003155,11.4737885,10
1038,1.76E+15,28777212,637,0.0003185,11.5828895,10
1039,1.76E+15,28800980,637,0.0003185,11.5828895,10
1040,1.76E+15,28824748,631,0.0003155,11.4737885,10
1041,1.76E+15,28848488,611,0.0003055,11.1101185,10
1042,1.76E+15,28872236,611,0.0003055,11.1101185,10
1043,1.76E+15,28895900,537,0.0002685,9.7645395,
1044,1.76E+15,28919636,597,0.0002985,10.8555495,
1045,1.76E+15,28943372,598,0.000299,10.873733,
1046,1.76E+15,28967132,631,0.0003155,11.4737885,
1047,1.76E+15,28990856,591,0.0002955,10.7464485,
1048,1.76E+15,29014704,710,0.000355,12.910285,
1049,1.76E+15,29038492,657,0.0003285,11.9465595,
1050,1.76E+15,29062396,771,0.0003855,14.0194785,
1051,1.76E+15,29086224,691,0.0003455,12.5647985,
1052,1.76E+15,29110156,797,0.0003985,14.4922495,
1053,1.76E+15,29134104,811,0.0004055,14.7468185,
1054,1.76E+15,29158152,911,0.0004555,16.5651685,
1055,1.76E+15,29182272,986,0.000493,17.928931,
1056,1.76E+15,29206340,930,0.000465,16.910655,
1057,1.76E+15,29230408,930,0.000465,16.910655,
1058,1.76E+15,29254472,930,0.000465,16.910655,
1059,1.76E+15,29278556,949,0.0004745,17.2561415,
1060,1.76E+15,29302644,949,0.0004745,17.2561415,
1061,1.76E+15,29326724,948,0.000474,17.237958,
1062,1.76E+15,29350812,949,0.0004745,17.2561415,
1063,1.76E+15,29374916,968,0.000484,17.601628,
1064,1.76E+15,29399024,967,0.0004835,17.5834445,
1065,1.76E+15,29423128,967,0.0004835,17.5834445,
1066,1.76E+15,29447308,1042,0.000521,18.947207,
1067,1.76E+15,29471544,1061,0.0005305,19.2926935,
1068,1.76E+15,29495788,1061,0.0005305,19.2926935,
1069,1.76E+15,29520044,1080,0.00054,19.63818,
1070,1.76E+15,29544324,1098,0.000549,19.965483,
1071,1.76E+15,29568620,1117,0.0005585,20.3109695,20
1072,1.76E+15,29592940,1136,0.000568,20.656456,20
1073,1.76E+15,29617292,1166,0.000583,21.201961,20
1074,1.76E+15,29641596,1136,0.000568,20.656456,20
1075,1.76E+15,29665948,1173,0.0005865,21.3292455,20
1076,1.76E+15,29690284,1154,0.000577,20.983759,20
1077,1.76E+15,29714660,1186,0.000593,21.565631,20
1078,1.76E+15,29739072,1228,0.000614,22.329338,20
1079,1.76E+15,29763456,1210,0.000605,22.002035,20
1080,1.76E+15,29787884,1248,0.000624,22.693008,20
1081,1.76E+15,29812296,1229,0.0006145,22.3475215,20
1082,1.76E+15,29836764,1285,0.0006425,23.3657975,20
1083,1.76E+15,29861156,1210,0.000605,22.002035,20
